Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-j7g2,cause_A Value,heard_A Response,heard_A Quantised,prev_A Response,prev_A Quantised,Q1_A Response,Q1_A Quantised,Q2_A Response,Q2_A Quantised,Q3_A Response,Q3_A Quantised,Q4_A Response,Q4_A Quantised,Q5_A Response,Q5_A Quantised,Q6_A Response,Q6_A Quantised
1,1692087757649,15/08/2023 08:22:37,1692091357649,1,15/08/2023 10:22:37,139320,6,questionnaire-cve7,,31187642,BLIND,9247245,,complete,,64db43af681f2b3288a4de96,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1440x737,,,0,asynchronous,6,asynchronous first,real life movement,No,2,No,2,-3,1,2,6,1,5,1,5,3,7,-3,1
1,1692053403122,14/08/2023 22:50:03,1692089403122,10,15/08/2023 18:50:03,139320,6,questionnaire-cve7,,31187260,BLIND,9247141,,complete,,64db3bdf865fd0caf99882b3,computer,Desktop or Laptop,Windows 10,Opera 100.0.0.0,1707x1067,1666x949,,,0,asynchronous,6,asynchronous first,I reckon that the participant expected her virtual body to move synchronously. But it did not work that way. ,No,2,No,2,-2,2,-3,1,0,4,1,5,-3,1,0,4
1,1692083051045,15/08/2023 07:04:11,1692086651045,1,15/08/2023 09:04:11,139320,6,questionnaire-cve7,,31186762,BLIND,9247030,,complete,,64db30fdf1307a5de1a9a3c2,mobile,Samsung SM-A750FN,Android 10,Samsung Browser 21.0,412x846,412x678,,,0,asynchronous,6,asynchronous first,a disconext from the body not moving at the same time as they expect it to,No,2,No,2,2,6,1,5,2,6,2,6,-1,3,-1,3
1,1692060979145,15/08/2023 00:56:19,1692046579145,-4,14/08/2023 16:56:19,139320,6,questionnaire-cve7,,31184176,BLIND,9245759,,complete,,64da94ba454b38d605fbade6,computer,Desktop or Laptop,Windows 10,Edge 115.0.1901.203,2560x1440,1278x1319,,,0,asynchronous,6,asynchronous first,I think it is supposed to immerse those in their own exercises.,No,2,No,2,-3,1,1,5,-3,1,-3,1,-3,1,-3,1
1,1692058870239,15/08/2023 00:21:10,1692044470239,-4,14/08/2023 16:21:10,139320,6,questionnaire-cve7,,31183650,BLIND,9245556,,complete,,64da8c5f86e610e05268cc2d,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1536x864,1536x715,,,0,asynchronous,6,asynchronous first,When the person does it in the real it should also reflet that virtual body at the same time move arm avtar should move arm at same time,No,2,No,2,0,4,3,7,3,7,3,7,3,7,3,7
1,1692061445272,15/08/2023 01:04:05,1692043445272,-5,14/08/2023 15:04:05,139320,6,questionnaire-cve7,,31183496,BLIND,9245478,,complete,,64da88967158b434dd649554,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1920x1080,1920x963,,,0,asynchronous,6,asynchronous first,"I can't be certain what the participant is expected to experience, but perhaps it could cause sickness in them. ",No,2,No,2,0,4,-3,1,0,4,3,7,-3,1,-3,1
1,1692038681375,14/08/2023 18:44:41,1692042281375,1,14/08/2023 20:44:41,139320,6,questionnaire-cve7,,31183282,BLIND,9245376,,complete,,64da83f00827fbc7db952d9e,mobile,Apple iPhone,iOS 16.1,Chrome 115.0.5790.160,390x844,390x669,,,0,asynchronous,6,asynchronous first,an out of body experience ,No,2,No,2,1,5,1,5,-2,2,-2,2,-2,2,-1,3
1,1692037025614,14/08/2023 18:17:05,1692040625614,1,14/08/2023 20:17:05,139320,6,questionnaire-cve7,,31183042,BLIND,9245169,,complete,,64de5f764d579a12b5a2130f,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1366x768,1350x650,,,0,asynchronous,6,asynchronous first,Confusion as the body moved independently,No,2,No,2,-1,3,1,5,-1,3,1,5,-2,2,1,5
1,1692037002746,14/08/2023 18:16:42,1692040602746,1,14/08/2023 20:16:42,139320,6,questionnaire-cve7,,31183035,BLIND,9245167,,complete,,64da7d88aa0b3ca587ba8b86,mobile,undefined K,Android 10,Chrome 115.0.0.0,360x800,360x660,,,0,asynchronous,6,asynchronous first,they are supposed to relate to the avatar as themselves. ,No,2,No,2,-3,1,0,4,-2,2,1,5,2,6,1,5
1,1692036585705,14/08/2023 18:09:45,1692040185705,1,14/08/2023 20:09:45,139320,6,questionnaire-cve7,,31182959,BLIND,9245101,,complete,,64da7ba7e5b58c5dfe649568,mobile,undefined K,Android 10,Chrome 115.0.0.0,412x869,412x722,,,0,asynchronous,6,asynchronous first,the participant is supposed to feel like their own body is moving even though it is not ,No,2,No,2,2,6,1,5,2,6,2,6,1,5,1,5
1,1692036259785,14/08/2023 18:04:19,1692039859785,1,14/08/2023 20:04:19,139320,6,questionnaire-cve7,,31182887,BLIND,9245039,,complete,,64da79e19519ce21cf9dbd75,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1368x912,1080x617,,,0,asynchronous,6,asynchronous first,Whether people feel that they are actually their avatar,No,2,No,2,-3,1,-2,2,-2,2,-2,2,-2,2,-2,2
1,1692053638939,14/08/2023 22:53:58,1692039238939,-4,14/08/2023 14:53:58,139320,6,questionnaire-cve7,,31182807,BLIND,9244931,,complete,,64da77ec2a1bf3bfedb3ff71,tablet,Apple iPad,iOS 16.6,Chrome 115.0.5790.160,810x1080,1080x695,,,0,asynchronous,6,asynchronous first,distress.,No,2,No,2,-1,3,-3,1,0,4,-1,3,0,4,-3,1
1,1692035468229,14/08/2023 17:51:08,1692039068229,1,14/08/2023 19:51:08,139320,6,questionnaire-cve7,,31182776,BLIND,9244892,,complete,,64da774536a99da227caad15,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1920x1080,1920x969,,,0,asynchronous,6,asynchronous first,the participation is supposed to feel detached from their body maybe?,No,2,No,2,-3,1,-3,1,-3,1,2,6,1,5,-3,1
1,1692035005544,14/08/2023 17:43:25,1692038605544,1,14/08/2023 19:43:25,139320,6,questionnaire-cve7,,31182694,BLIND,9244769,,complete,,64da75baf437f6c7db828ee0,mobile,Samsung SM-G780G,Android 13,Samsung Browser 22.0,360x800,360x675,,,0,asynchronous,6,asynchronous first,unsure ,Yes,1,No,2,-2,2,-3,1,1,5,1,5,-1,3,-3,1
1,1692033659516,14/08/2023 17:20:59,1692037259516,1,14/08/2023 19:20:59,139320,6,questionnaire-cve7,,31181820,BLIND,9244309,,complete,,64da706f5ff71ce16770c7be,mobile,Apple iPhone,iOS 16.6,Mobile Safari 16.6,390x844,390x664,,,0,asynchronous,6,asynchronous first,engagement with their virtual self - sense of curiosity that they don't usually feel about themselves,No,2,No,2,2,6,1,5,1,5,1,5,2,6,1,5
1,1692033446117,14/08/2023 17:17:26,1692037046117,1,14/08/2023 19:17:26,139320,6,questionnaire-cve7,,31181739,BLIND,9244284,,complete,,64da6fa7632eed3861cb995a,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,2560x1440,2560x1323,,,0,asynchronous,6,asynchronous first,I think they are ment to experience the new technology and how it performs and makes the other person feel,No,2,No,2,2,6,3,7,2,6,2,6,2,6,1,5
1,1692033423812,14/08/2023 17:17:03,1692037023812,1,14/08/2023 19:17:03,139320,6,questionnaire-cve7,,31181727,BLIND,9244281,,complete,,64e7479e975b98375d1d32cc,mobile,Apple iPhone,iOS 16.6,Mobile Safari 16.6,414x896,414x715,,,0,asynchronous,6,asynchronous first,experience what it is like to be in another persons body that you control,No,2,No,2,3,7,3,7,3,7,2,6,3,7,3,7
1,1692051388744,14/08/2023 22:16:28,1692036988744,-4,14/08/2023 14:16:28,139320,6,questionnaire-cve7,,31181708,BLIND,9244271,,complete,,64da6f45189bac7ba82a72e9,computer,Desktop or Laptop,Windows 10,Edge 115.0.1901.203,1536x864,1536x760,,,0,asynchronous,6,asynchronous first,The participants are probably feeling weird as to how a character is following their movements,No,2,No,2,1,5,1,5,1,5,1,5,-2,2,1,5
1,1692033289611,14/08/2023 17:14:49,1692036889611,1,14/08/2023 19:14:49,139320,6,questionnaire-cve7,,31181682,BLIND,9244256,,complete,,64da6eeec65f1e3b111fad49,mobile,Samsung SM-G780G,Android 13,Samsung Browser 22.0,360x800,360x627,,,0,asynchronous,6,asynchronous first,see the virtual body move in the same way,Yes,1,No,2,1,5,1,5,2,6,2,6,2,6,-1,3
1,1692033244699,14/08/2023 17:14:04,1692036844699,1,14/08/2023 19:14:04,139320,6,questionnaire-cve7,,31181664,BLIND,9244249,,complete,,64da6ecdcf3b98ebebdad58f,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,810x1080,810x977,,,0,asynchronous,6,asynchronous first,should mirror similar actions and interact with the participant actions ,No,2,No,2,0,4,2,6,1,5,0,4,1,5,-1,3
1,1692033051420,14/08/2023 17:10:51,1692036651420,1,14/08/2023 19:10:51,139320,6,questionnaire-cve7,,31181612,BLIND,9244233,,complete,,64da6e113939179c03db4290,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1536x864,1536x707,,,0,asynchronous,6,asynchronous first,This wasn't the video I saw. The video I was presented with was the virtual body making its own movements without the participant moving at all.,No,2,No,2,-3,1,-3,1,-3,1,-2,2,-2,2,-3,1
1,1692032953616,14/08/2023 17:09:13,1692036553616,1,14/08/2023 19:09:13,139320,6,questionnaire-cve7,,31181601,BLIND,9244221,,complete,,64da6db6298aafb986658112,mobile,Apple iPhone,iOS 16.3,Mobile Safari 16.3,390x844,390x664,,,0,asynchronous,6,asynchronous first,an out of body experience ,No,2,No,2,3,7,3,7,3,7,3,7,3,7,3,7
1,1689911393790,21/07/2023 03:49:53,1689940193790,8,21/07/2023 19:49:53,139320,6,questionnaire-cve7,,30792323,BLIND,9143422,,complete,,64ba70abceb045e9f731899c,tablet,Apple iPad,iOS 16.5,Chrome 115.0.5790.130,1024x1366,1366x901,,,,asynchronous,6,asynchronous first,excersise classes,No,2,No,2,2,6,1,5,1,5,1,5,2,6,1,5
1,1689936289746,21/07/2023 10:44:49,1689939889746,1,21/07/2023 12:44:49,139320,6,questionnaire-cve7,,30792219,BLIND,9143399,,complete,,64ba6f8fe825b1e5b7091160,mobile,undefined K,Android 10,Chrome 114.0.0.0,360x780,360x648,,,,asynchronous,6,asynchronous first,They're supposed to feel disconnected from their own bodies.,No,2,No,2,2,6,2,6,2,6,1,5,1,5,1,5
END OF FILE
